word,category,color,shape,taste,material,emotion,action_type
apple,fruit,mixed,round,sweet,,,
banana,fruit,yellow,curved,sweet,,,
orange,fruit,orange,round,sour,,,
grape,fruit,purple,round,sweet,,,
pear,fruit,green,round,sweet,,,
peach,fruit,pink,round,sweet,,,
lemon,fruit,yellow,round,sour,,,
melon,fruit,green,round,sweet,,,
berry,fruit,red,round,sweet,,,
mango,fruit,yellow,round,sweet,,,
cat,animal,,,,,calm,
dog,animal,,,,,kind,
horse,animal,,,,,brave,
tiger,animal,,,,,angry,
lion,animal,,,,,brave,
mouse,animal,,,,,quiet,
rabbit,animal,,,,,gentle,
panda,animal,,,,,calm,
eagle,animal,,,,,brave,
shark,animal,,,,,angry,
red,color,red,,,,,
blue,color,blue,,,,,
green,color,green,,,,,
yellow,color,yellow,,,,,
white,color,white,,,,,
black,color,black,,,,,
purple,color,purple,,,,,
orange_color,color,orange,,,,,
pink,color,pink,,,,,
brown,color,brown,,,,,
circle,shape,,round,,,,
square,shape,,square,,,,
triangle,shape,,triangle,,,,
line,shape,,line,,,,
point,shape,,point,,,,
cube,shape,,square,,,,
sphere,shape,,round,,,,
ring,shape,,round,,,,
curve,shape,,curved,,,,
angle,shape,,angle,,,,
bread,food,,soft,plain,,,
rice,food,,grain,plain,,,
cake,food,,round,sweet,,,
soup,food,,liquid,savory,,,
milk,food,white,liquid,sweet,,,
water,food,,liquid,plain,,,
juice,food,orange,liquid,sweet,,,
coffee,food,brown,liquid,bitter,,,
tea,food,brown,liquid,bitter,,,
sugar,food,white,grain,sweet,,,
car,vehicle,,,,metal,,
bus,vehicle,,,,metal,,
train,vehicle,,,,metal,,
plane,vehicle,,,,metal,,
ship,vehicle,,,,metal,,
bike,vehicle,,,,metal,,
truck,vehicle,,,,metal,,
road,vehicle,,,,stone,,
bridge,vehicle,,,,metal,,
wheel,vehicle,,round,,metal,,
book,object,,rectangle,,paper,,
pen,object,,line,,plastic,,
paper,object,white,rectangle,,paper,,
phone,object,,rectangle,,metal,,
clock,object,,round,,metal,,
chair,object,,square,,wood,,
table,object,,square,,wood,,
window,object,,square,,glass,,
door,object,,rectangle,,wood,,
lamp,object,,round,,metal,,
happy,emotion,,,,,happy,
sad,emotion,,,,,sad,
angry,emotion,,,,,angry,
calm,emotion,,,,,calm,
brave,emotion,,,,,brave,
kind,emotion,,,,,kind,
smart,emotion,,,,,smart,
quiet,emotion,,,,,quiet,
loud,emotion,,,,,loud,
gentle,emotion,,,,,gentle,
metal,material,,,,metal,,
wood,material,,,,wood,,
glass,material,,,,glass,,
stone,material,,,,stone,,
cotton,material,,,,cotton,,
plastic,material,,,,plastic,,
gold,material,,,,gold,,
silver,material,,,,silver,,
iron,material,,,,iron,,
paper_material,material,,,,paper,,
run,action,,,,,,motion
walk,action,,,,,,motion
jump,action,,,,,,motion
think,action,,,,,,cognition
write,action,,,,,,cognition
read,action,,,,,,cognition
sing,action,,,,,,sound
dance,action,,,,,,motion
sleep,action,,,,,,body
laugh,action,,,,,,sound
