word,primary_label,secondary_label
apple,fruit,food
banana,fruit,food
orange,fruit,food
grape,fruit,food
pear,fruit,food
peach,fruit,food
lemon,fruit,food
melon,fruit,food
berry,fruit,food
mango,fruit,food
cat,animal,living
dog,animal,living
horse,animal,living
tiger,animal,living
lion,animal,living
mouse,animal,living
rabbit,animal,living
panda,animal,living
eagle,animal,living
shark,animal,living
red,color,visual
blue,color,visual
green,color,visual
yellow,color,visual
white,color,visual
black,color,visual
purple,color,visual
orange_color,color,visual
pink,color,visual
brown,color,visual
circle,shape,geometry
square,shape,geometry
triangle,shape,geometry
line,shape,geometry
point,shape,geometry
cube,shape,geometry
sphere,shape,geometry
ring,shape,geometry
curve,shape,geometry
angle,shape,geometry
bread,food,edible
rice,food,edible
cake,food,edible
soup,food,edible
milk,food,drink
water,food,drink
juice,food,drink
coffee,food,drink
tea,food,drink
sugar,food,edible
car,vehicle,transport
bus,vehicle,transport
train,vehicle,transport
plane,vehicle,transport
ship,vehicle,transport
bike,vehicle,transport
truck,vehicle,transport
road,vehicle,transport
bridge,vehicle,transport
wheel,vehicle,transport
book,object,tool
pen,object,tool
paper,object,tool
phone,object,tool
clock,object,tool
chair,object,furniture
table,object,furniture
window,object,structure
door,object,structure
lamp,object,tool
happy,emotion,feeling
sad,emotion,feeling
angry,emotion,feeling
calm,emotion,feeling
brave,emotion,trait
kind,emotion,trait
smart,emotion,trait
quiet,emotion,trait
loud,emotion,trait
gentle,emotion,trait
metal,material,substance
wood,material,substance
glass,material,substance
stone,material,substance
cotton,material,substance
plastic,material,substance
gold,material,substance
silver,material,substance
iron,material,substance
paper_material,material,substance
run,action,motion
walk,action,motion
jump,action,motion
think,action,cognition
write,action,cognition
read,action,cognition
sing,action,sound
dance,action,motion
sleep,action,body
laugh,action,sound
